id,title,composer_or_origin,culture,program_evidence,score_data_status,license_risk,can_bundle_now,recommended_action,source_url,notes
world_001,Ode to Joy,Beethoven / Symphony No. 9,world,international recorder repertoire and PD score libraries,score data available via IMSLP and public-domain recorder arrangements,low for composition; check arrangement edition,yes_with_own_arrangement,create simplified soprano-recorder MusicXML from public-domain melody,https://imslp.org/wiki/Symphony_No.9%2C_Op.125_%28Beethoven%2C_Ludwig_van%29,Good first import candidate
world_002,Twinkle Twinkle Little Star,traditional / Mozart theme association,world,common beginner recorder repertoire,score data widely available,low for melody; check modern arrangement,yes_with_own_arrangement,create own 5-note beginner arrangement,https://schoolbandclass.com/library/instrument/recorder,Use public-domain melody only
world_003,Mary Had a Little Lamb,traditional,world,common beginner recorder repertoire,score data widely available,low for melody; check modern arrangement,yes_with_own_arrangement,create own beginner arrangement,https://schoolbandclass.com/library/instrument/recorder,Use as level 1 exercise
world_004,Hot Cross Buns,traditional,world,common beginner recorder repertoire,score data widely available,low for melody; check modern arrangement,yes_with_own_arrangement,create own 3-note arrangement,https://schoolbandclass.com/library/instrument/recorder,Use as first lesson
world_005,Frere Jacques,traditional French canon,world,common beginner recorder repertoire,score data widely available,low for melody; check modern arrangement,yes_with_own_arrangement,create own canon and single-line variants,https://schoolbandclass.com/library/instrument/recorder,Can add duet later
world_006,Au Clair de la Lune,traditional French,world,common beginner recorder repertoire,score data widely available,low for melody; check modern arrangement,yes_with_own_arrangement,create own beginner arrangement,https://www.ibiblio.org/mutopia/,Good public-domain source candidate
world_007,Lightly Row,traditional / folk song,world,common beginner recorder repertoire,score data widely available,low for melody; check modern arrangement,yes_with_own_arrangement,create own beginner arrangement,https://schoolbandclass.com/library/instrument/recorder,Useful for stepwise motion
world_008,London Bridge,traditional English,world,common beginner recorder repertoire,score data widely available,low for melody; check modern arrangement,yes_with_own_arrangement,create own beginner arrangement,https://schoolbandclass.com/library/instrument/recorder,Level 1
world_009,Old MacDonald,traditional,world,common beginner recorder repertoire,score data widely available,low for melody; check modern arrangement,yes_with_own_arrangement,create own beginner arrangement,https://schoolbandclass.com/library/instrument/recorder,Level 1 or 2
world_010,Jingle Bells,J. Pierpont,world,beginner recorder websites,score data widely available,composition public domain; arrangement check needed,yes_with_own_arrangement,create own simplified arrangement,https://www.blf.ru/narkhiv/index.htm,Use instrumental melody without lyrics if desired
world_011,Silent Night,Gruber / Mohr,world,beginner recorder repertoire,score data widely available,composition public domain; translation/lyrics can vary,yes_with_own_arrangement,create own melody-only arrangement,https://schoolbandclass.com/library/instrument/recorder,Level 2
world_012,Amazing Grace,traditional hymn,world,beginner recorder repertoire,score data widely available,low for tune; arrangement check needed,yes_with_own_arrangement,create own melody-only arrangement,https://schoolbandclass.com/library/instrument/recorder,Level 2
